Name,Language,Stars,Forks,Owner,Created At
public-apis,Python,444138,48692,public-apis,2016-03-20T23:49:42Z
free-programming-books,Python,390772,66451,EbookFoundation,2013-10-11T06:50:37Z
system-design-primer,Python,354787,56895,donnemartin,2017-02-26T16:15:28Z
awesome-python,Python,304741,28145,vinta,2014-06-27T21:00:06Z
Python,Python,222194,50794,TheAlgorithms,2016-07-16T09:44:01Z
hermes-agent,Python,202620,36202,NousResearch,2025-07-22T22:22:28Z
AutoGPT,Python,185156,46128,Significant-Gravitas,2023-03-16T09:21:07Z
yt-dlp,Python,173243,14604,yt-dlp,2020-10-26T04:22:55Z
stable-diffusion-webui,Python,163874,30363,AUTOMATIC1111,2022-08-22T14:05:26Z
HelloGitHub,Python,162635,12223,521xueweihan,2016-05-04T06:24:11Z
transformers,Python,161902,33592,huggingface,2018-10-29T13:56:00Z
markitdown,Python,158962,11121,microsoft,2024-11-13T19:56:40Z
skills,Python,155009,18249,anthropics,2025-09-22T15:53:31Z
langflow,Python,150062,9335,langflow-ai,2023-02-08T22:28:03Z
open-webui,Python,142950,20595,open-webui,2023-10-06T22:08:27Z
youtube-dl,Python,140602,10683,ytdl-org,2010-10-31T14:35:07Z
langchain,Python,140162,23249,langchain-ai,2022-10-17T02:58:36Z
claude-code,Python,134309,21702,anthropics,2025-02-22T17:41:21Z
ComfyUI,Python,118283,13839,Comfy-Org,2023-01-17T03:15:56Z
awesome-llm-apps,Python,115548,17172,Shubhamsaboo,2024-04-29T05:30:25Z
spec-kit,Python,115384,10186,github,2025-08-21T22:54:31Z
DeepSeek-V3,Python,103799,16731,deepseek-ai,2024-12-26T09:52:40Z
whisper,Python,103601,12615,openai,2022-09-16T20:02:54Z
pytorch,Python,101143,28120,pytorch,2016-08-13T05:26:41Z
browser-use,Python,100604,11192,browser-use,2024-10-31T16:00:56Z
fastapi,Python,99648,9475,fastapi,2018-12-08T08:21:47Z
thefuck,Python,97420,3948,nvbn,2015-04-08T15:08:04Z
ui-ux-pro-max-skill,Python,96287,10119,nextlevelbuilder,2025-11-30T11:36:31Z
Deep-Live-Cam,Python,94160,13718,hacksider,2023-09-24T13:19:31Z
MoneyPrinterTurbo,Python,92444,13337,harry0703,2024-03-11T02:57:34Z
autoresearch,Python,88523,12808,karpathy,2026-03-06T22:00:43Z
TradingAgents,Python,88438,17081,TauricResearch,2024-12-28T03:31:08Z
django,Python,88126,33868,django,2012-04-28T02:47:18Z
core,Python,87966,37749,home-assistant,2013-09-17T07:29:48Z
manim,Python,87858,7330,3b1b,2015-03-22T18:50:58Z
sherlock,Python,85446,9996,sherlock-project,2018-12-24T14:30:48Z
vllm,Python,84196,18481,vllm-project,2023-02-09T11:23:20Z
PaddleOCR,Python,83777,10876,PaddlePaddle,2020-05-08T10:38:16Z
devops-exercises,Python,82925,19606,bregman-arie,2019-10-03T17:31:21Z
funNLP,Python,81438,15244,fighting41love,2018-08-21T11:20:39Z
PayloadsAllTheThings,Python,78659,17121,swisskyrepo,2016-10-18T07:29:07Z
d2l-zh,Python,78524,12278,d2l-ai,2017-08-23T04:40:24Z
OpenHands,Python,78290,9955,OpenHands,2024-03-13T03:33:31Z
hackingtool,Python,77790,8827,Z4nzu,2020-04-11T09:21:31Z
models,Python,77670,45013,tensorflow,2016-02-05T01:15:20Z
odysseus,Python,77631,10105,pewdiepie-archdaemon,2026-05-31T14:05:51Z
deer-flow,Python,74567,10046,bytedance,2025-05-07T02:50:19Z
cpython,Python,73536,34775,python,2017-02-10T19:23:51Z
screenshot-to-code,Python,73056,8988,abi,2023-11-14T17:53:32Z
awesome-machine-learning,Python,73037,15508,josephmisiti,2014-07-15T19:11:19Z
LlamaFactory,Python,72482,8863,hiyouga,2023-05-28T10:09:12Z
flask,Python,71861,16876,pallets,2010-04-06T11:11:59Z
graphify,Python,71831,7196,safishamsi,2026-04-03T15:49:07Z
gpt_academic,Python,70950,8358,binary-husky,2023-03-20T09:05:13Z
OpenBB,Python,69658,7041,OpenBB-finance,2020-12-20T10:46:38Z
crawl4ai,Python,69558,7106,unclecode,2024-05-09T09:48:50Z
MinerU,Python,69061,5838,opendatalab,2024-02-29T08:52:34Z
ansible,Python,69046,24094,ansible,2012-03-06T14:58:02Z
MetaGPT,Python,69023,8814,FoundationAgents,2023-06-30T09:04:55Z
